iter	Passed	Remaining
0	101	30233
1	115	17168
2	127	12622
3	137	10188
4	148	8781
5	160	7871
6	167	6993
7	176	6435
8	185	5985
9	201	5834
10	208	5472
11	221	5313
12	229	5068
13	240	4912
14	244	4654
15	250	4450
16	256	4276
17	261	4100
18	266	3937
19	273	3826
20	277	3687
21	281	3562
22	286	3451
23	291	3352
24	296	3265
25	303	3194
26	308	3123
27	316	3071
28	323	3019
29	328	2960
30	334	2906
31	340	2855
32	347	2810
33	351	2751
34	358	2716
35	363	2667
36	367	2615
37	374	2584
38	379	2537
39	384	2498
40	391	2471
41	397	2441
42	401	2400
43	408	2375
44	412	2338
45	416	2302
46	421	2270
47	426	2238
48	430	2205
49	434	2174
50	440	2151
51	444	2121
52	449	2093
53	453	2065
54	458	2043
55	462	2016
56	467	1991
57	471	1969
58	476	1946
59	482	1928
60	489	1916
61	493	1894
62	497	1872
63	502	1851
64	508	1839
65	512	1818
66	518	1803
67	524	1790
68	529	1771
69	533	1752
70	541	1747
71	549	1741
72	558	1735
73	563	1720
74	567	1703
75	576	1699
76	581	1682
77	585	1666
78	591	1654
79	597	1642
80	602	1629
81	609	1621
82	615	1610
83	621	1597
84	629	1593
85	637	1586
86	643	1575
87	649	1564
88	657	1559
89	662	1545
90	666	1530
91	674	1523
92	678	1510
93	683	1497
94	690	1489
95	698	1484
96	705	1476
97	709	1463
98	717	1457
99	726	1452
100	730	1439
101	735	1428
102	741	1418
103	747	1408
104	751	1395
105	759	1389
106	765	1380
107	771	1371
108	778	1363
109	782	1351
110	790	1345
111	795	1334
112	800	1324
113	805	1315
114	810	1303
115	816	1295
116	821	1284
117	826	1274
118	830	1263
119	834	1252
120	840	1243
121	845	1233
122	850	1223
123	855	1213
124	859	1203
125	864	1193
126	870	1186
127	876	1177
128	883	1171
129	888	1161
130	893	1153
131	898	1143
132	903	1134
133	908	1126
134	913	1116
135	920	1109
136	924	1100
137	931	1093
138	937	1085
139	942	1076
140	947	1068
141	956	1064
142	961	1055
143	968	1048
144	974	1041
145	978	1032
146	982	1022
147	988	1014
148	993	1006
149	998	998
150	1003	989
151	1010	983
152	1014	975
153	1019	966
154	1025	959
155	1030	951
156	1034	942
157	1039	934
158	1043	925
159	1049	918
160	1053	909
161	1059	902
162	1063	894
163	1068	885
164	1073	878
165	1082	873
166	1087	865
167	1094	860
168	1099	852
169	1107	847
170	1114	840
171	1118	832
172	1124	825
173	1128	817
174	1133	809
175	1137	801
176	1144	795
177	1148	787
178	1153	779
179	1160	773
180	1165	766
181	1170	758
182	1176	752
183	1184	747
184	1189	739
185	1196	733
186	1202	726
187	1211	721
188	1217	714
189	1223	708
190	1229	701
191	1234	694
192	1238	686
193	1244	680
194	1248	672
195	1253	664
196	1258	657
197	1262	650
198	1267	643
199	1272	636
200	1276	628
201	1281	621
202	1285	614
203	1290	607
204	1296	600
205	1300	593
206	1306	586
207	1310	579
208	1314	572
209	1321	566
210	1326	559
211	1330	552
212	1337	546
213	1343	539
214	1347	532
215	1351	525
216	1358	519
217	1365	513
218	1372	507
219	1377	500
220	1381	493
221	1386	487
222	1396	482
223	1401	475
224	1409	469
225	1415	463
226	1419	456
227	1428	451
228	1432	444
229	1436	437
230	1442	430
231	1448	424
232	1453	417
233	1459	411
234	1463	404
235	1467	397
236	1472	391
237	1477	384
238	1483	378
239	1490	372
240	1494	365
241	1500	359
242	1504	352
243	1509	346
244	1514	339
245	1518	333
246	1523	326
247	1527	320
248	1534	314
249	1542	308
250	1546	301
251	1552	295
252	1558	289
253	1565	283
254	1571	277
255	1578	271
256	1582	264
257	1587	258
258	1593	252
259	1602	246
260	1608	240
261	1613	234
262	1619	227
263	1623	221
264	1628	215
265	1632	208
266	1636	202
267	1642	196
268	1647	189
269	1653	183
270	1660	177
271	1666	171
272	1671	165
273	1676	159
274	1680	152
275	1684	146
276	1688	140
277	1693	134
278	1698	127
279	1702	121
280	1706	115
281	1711	109
282	1715	103
283	1721	96
284	1727	90
285	1732	84
286	1738	78
287	1744	72
288	1755	66
289	1761	60
290	1765	54
291	1770	48
292	1777	42
293	1781	36
294	1786	30
295	1793	24
296	1798	18
297	1803	12
298	1807	6
299	1812	0
